step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
612,2.05297,0.50484,,
613,1.55622,0.5975,,
614,1.50662,0.60615,,
615,1.84067,0.5515,,
616,1.56732,0.59247,,
617,1.74248,0.55291,,
618,2.07683,0.52599,,
619,1.66147,0.56972,,
620,1.69574,0.56752,,
621,2.01787,0.52785,,
622,1.97391,0.52774,,
623,1.53526,0.62302,,
624,1.32726,0.65424,,
625,1.78298,0.56526,,
626,1.30579,0.65217,,
627,1.5868,0.59076,,
628,1.30019,0.6649,,
629,1.59493,0.60546,,
630,1.81178,0.54221,,
631,1.21638,0.68379,,
632,1.9498,0.52894,,
633,1.85603,0.54849,,
634,2.04058,0.48874,,
635,1.74658,0.54744,,
636,1.85618,0.53224,,
637,1.60412,0.59588,,
638,1.49832,0.60322,,
639,1.60003,0.57001,,
640,1.57263,0.60805,,
641,1.64309,0.58715,,
642,1.67309,0.59196,,
643,1.48409,0.60406,,
644,2.05068,0.51135,,
645,2.00202,0.52422,,
646,1.68983,0.56504,,
647,1.6765,0.58103,,
648,2.02025,0.50612,,
649,1.38066,0.65184,,
650,1.8538,0.52166,,
651,1.66721,0.58976,,
652,1.64593,0.59504,,
653,2.18493,0.47699,,
654,2.06537,0.51937,,
655,1.62062,0.57038,,
656,1.31732,0.6568,,
657,1.97928,0.50672,,
658,1.7786,0.5479,,
659,1.53016,0.58721,,
660,1.52323,0.62653,,
661,1.78828,0.55277,,
662,1.55338,0.60657,,
663,1.73901,0.57336,,
664,1.86093,0.51894,,
665,1.76145,0.54568,,
666,1.84076,0.53653,,
667,1.65457,0.56338,,
668,1.51591,0.60074,,
669,1.51822,0.61861,,
670,1.46824,0.63426,,
671,1.65316,0.60376,,
672,1.48774,0.63158,,
673,1.60862,0.57374,,
674,1.81391,0.54399,,
675,1.34984,0.64533,,
676,1.22641,0.67123,,
677,1.93108,0.51334,,
678,1.53065,0.59637,,
679,1.98456,0.54009,,
680,2.1364,0.49704,,
681,1.57704,0.58588,,
682,1.81548,0.54462,,
683,1.43771,0.62863,,
684,1.63265,0.58325,,
685,1.80392,0.53151,,
686,1.48778,0.62419,,
687,1.77719,0.56161,,
688,1.7591,0.57221,,
689,1.19675,0.67386,,
690,2.0264,0.51035,,
691,1.65948,0.58527,,
692,1.24552,0.69068,,
693,1.47892,0.60646,,
694,1.85899,0.51613,,
695,1.43769,0.61728,,
696,1.70506,0.59421,,
697,1.32153,0.65414,,
698,1.76848,0.56889,,
699,1.34948,0.6408,,
700,1.49089,0.63578,,
701,1.4283,0.64448,,
702,1.49231,0.61577,,
703,1.345,0.64265,,
704,1.64039,0.58698,,
705,1.93651,0.54739,,
706,1.56933,0.59405,,
707,1.76421,0.57156,,
708,1.43563,0.62653,,
709,1.7834,0.53292,,
710,1.56161,0.57688,,
711,1.81245,0.5629,,
712,1.64823,0.60542,,
713,1.6043,0.58828,,
714,1.67173,0.5696,,
715,1.84002,0.56313,,
716,1.53114,0.58873,,
717,1.98307,0.52183,,
718,1.84884,0.55131,,
719,1.89654,0.51919,,
720,1.84488,0.54022,,
721,1.68792,0.57564,,
722,1.64926,0.57638,,
723,1.81275,0.54324,,
724,1.66838,0.57281,,
725,1.30197,0.65328,,
726,1.72383,0.58241,,
727,1.69483,0.57671,,
728,1.35547,0.61844,,
729,1.44164,0.63513,,
730,2.03348,0.5089,,
731,2.03834,0.50726,,
732,1.76763,0.53966,,
733,1.75886,0.56481,,
734,1.12325,0.71467,,
735,1.58992,0.59913,,
736,1.50231,0.59234,,
737,1.67761,0.59422,,
738,1.44043,0.62851,,
739,1.83926,0.5737,,
740,1.57102,0.61707,,
